id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
BV10006436,黄杉木店(公交站),"116.524961,39.923698",交通设施服务;公交车站;公交车站相关,150700,126路;499路;553路;605路;675路;911路;991路,110105,北京市,北京市,朝阳区,甘露园
BV10003001,石佛营东里(公交站),"116.501981,39.932442",交通设施服务;公交车站;公交车站相关,150700,140路;408路;486路;499路;640路;675路;991路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10007431,石佛营西里(公交站),"116.496880,39.931454",交通设施服务;公交车站;公交车站相关,150700,138路;140路;408路;486路,110105,北京市,北京市,朝阳区,姚家园
BV11211280,四惠桥西(公交站),"116.483813,39.908434",交通设施服务;公交车站;公交车站相关,150700,54路;605路,110105,北京市,北京市,朝阳区,大望路
BV10000554,延静里(公交站),"116.483980,39.922860",交通设施服务;公交车站;公交车站相关,150700,126路;140路;486路;640路;682路;75路;985路,110105,北京市,北京市,朝阳区,[]
BV10000648,百子湾桥东(公交站),"116.490951,39.900651",交通设施服务;公交车站;公交车站相关,150700,31路;专113路;专87路,110105,北京市,北京市,朝阳区,百子湾
BV10007691,姚家园村(公交站),"116.517174,39.930443",交通设施服务;公交车站;公交车站相关,150700,451路;468路;911路;专194路;专50路;夜13路,110105,北京市,北京市,朝阳区,姚家园
BV10001228,红庙路口东(公交站),"116.481094,39.915221",交通设施服务;公交车站;公交车站相关,150700,101路;115路;117路;118路;138路;419路;488路;639路;671路;95路;夜13路,110105,北京市,北京市,朝阳区,红庙
BV10000641,百子湾家园东站(公交站),"116.514839,39.898685",交通设施服务;公交车站;公交车站相关,150700,专113路;专71路;专87路,110105,北京市,北京市,朝阳区,百子湾
BV10007543,石门中路(公交站),"116.498685,39.897973",交通设施服务;公交车站;公交车站相关,150700,439路,110105,北京市,北京市,朝阳区,南磨房
BV10008078,兴隆中街(公交站),"116.528679,39.912788",交通设施服务;公交车站;公交车站相关,150700,363路;517路,110105,北京市,北京市,朝阳区,高碑店
BV10007972,四季星河南街(公交站),"116.524620,39.925774",交通设施服务;公交车站;公交车站相关,150700,126路;553路,110105,北京市,北京市,朝阳区,甘露园
BV10001135,八王坟东(公交站),"116.481135,39.908024",交通设施服务;公交车站;公交车站相关,150700,382路;54路;58路;605路;666路;667路;668路;809路华龙班车;815路大站快车;815路快;815路快(景辉南街);817路;988路;夜1路;夜27路;夜34路;快速直达专线20路;快速直达专线5路;快速直达专线61路;燕郊专线,110105,北京市,北京市,朝阳区,大望路
BV10435442,惠河南街东口(公交站),"116.526821,39.906265",交通设施服务;公交车站;公交车站相关,150700,专167路,110105,北京市,北京市,朝阳区,高碑店
BV11493614,百子湾桥南(公交站),"116.489978,39.899537",交通设施服务;公交车站;公交车站相关,150700,138路;455路;657路;865路;夜34路;快速直达专线174路,110105,北京市,北京市,朝阳区,南磨房
BV10008077,高碑店桥北(公交站),"116.529518,39.910729",交通设施服务;公交车站;公交车站相关,150700,363路;517路,110105,北京市,北京市,朝阳区,高碑店
BV10000562,豆各庄路口南(公交站),"116.501979,39.934311",交通设施服务;公交车站;公交车站相关,150700,140路;408路;486路;499路;640路;675路;991路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10006284,朝阳公园桥南(公交站),"116.490165,39.931173",交通设施服务;公交车站;公交车站相关,150700,400路内环;400路快车内环;496路;657路;690路;989路;郊81路,110105,北京市,北京市,朝阳区,北京甜水园
BV09451036,国美家园社区(公交站),"116.513512,39.933280",交通设施服务;公交车站;公交车站相关,150700,专72路,110105,北京市,北京市,朝阳区,姚家园
BV11494454,民航总医院(公交站),"116.531545,39.916931",交通设施服务;公交车站;公交车站相关,150700,350路;451路;488路;517路;615路;639路;690路,110105,北京市,北京市,朝阳区,高碑店
BV11386198,民航总医院(快速公交站),"116.530960,39.916862",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,高碑店
BV10000561,豆各庄路口西(公交站),"116.498832,39.935161",交通设施服务;公交车站;公交车站相关,150700,140路;302路;406路;412路;431路;451路;496路;499路;650路;675路;989路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10012055,道家园(公交站),"116.484653,39.927500",交通设施服务;公交车站;公交车站相关,150700,985路,110105,北京市,北京市,朝阳区,姚家园
BV10000476,红庙路口北(公交站),"116.478128,39.918052",交通设施服务;公交车站;公交车站相关,150700,117路;135路;31路;419路;486路;973路;985路;988路,110105,北京市,北京市,朝阳区,红庙
BV10422521,高碑店桥南(公交站),"116.529557,39.907075",交通设施服务;公交车站;公交车站相关,150700,363路,110105,北京市,北京市,朝阳区,高碑店
BV11279770,高庙北(公交站),"116.495373,39.933898",交通设施服务;公交车站;公交车站相关,150700,140路,110105,北京市,北京市,朝阳区,姚家园
BV10006387,朝阳公园桥东(公交站),"116.492275,39.933689",交通设施服务;公交车站;公交车站相关,150700,302路;406路;412路;431路;451路;496路;499路;650路;675路;989路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10007769,国美第一城小区(公交站),"116.517319,39.933788",交通设施服务;公交车站;公交车站相关,150700,451路;468路;911路;专194路;专50路;夜13路,110105,北京市,北京市,朝阳区,姚家园
BV11494436,景辉街东口(公交站),"116.477852,39.912361",交通设施服务;公交车站;公交车站相关,150700,138路;31路;985路;夜34路,110105,北京市,北京市,朝阳区,红庙
BV10006226,八王坟北(公交站),"116.477843,39.910738",交通设施服务;公交车站;公交车站相关,150700,138路;31路;486路;973路;985路;988路;夜34路,110105,北京市,北京市,朝阳区,红庙
BV10000553,金台路口东(公交站),"116.479349,39.922834",交通设施服务;公交车站;公交车站相关,150700,126路;140路;486路;640路;682路;75路,110105,北京市,北京市,朝阳区,[]
BV10000475,金台路口南(公交站),"116.478043,39.921352",交通设施服务;公交车站;公交车站相关,150700,117路;135路;31路;419路;486路;973路;985路;988路,110105,北京市,北京市,朝阳区,红庙
BV09344573,大望路地铁站E口(公交站),"116.477837,39.910614",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车核心区早班,110105,北京市,北京市,朝阳区,建外大街
BV10006312,百子湾桥西(公交站),"116.484071,39.900597",交通设施服务;公交车站;公交车站相关,150700,138路;31路;专87路,110105,北京市,北京市,朝阳区,大望路
BV10006585,唐家村(公交站),"116.503364,39.893129",交通设施服务;公交车站;公交车站相关,150700,(停运)312-23路联运;11路;138路;23路;312路;312路区间;312路快车;31路;35路;439路;455路;513路;561路;669路;专71路;临7路;夜29路;快速直达专线174路,110105,北京市,北京市,朝阳区,百子湾
BV10000420,高碑店桥东(公交站),"116.532370,39.909724",交通设施服务;公交车站;公交车站相关,150700,397路;475路;506路;666路;夜27路,110105,北京市,北京市,朝阳区,高碑店
BV10006386,姚家园西口(公交站),"116.505046,39.936908",交通设施服务;公交车站;公交车站相关,150700,412路;431路;451路;496路;640路;650路;989路,110105,北京市,北京市,朝阳区,姚家园
BV10006584,小海子(公交站),"116.509094,39.893192",交通设施服务;公交车站;公交车站相关,150700,11路;23路;35路;455路;临7路;夜29路,110105,北京市,北京市,朝阳区,百子湾
BV10422511,高碑店(公交站),"116.529983,39.904284",交通设施服务;公交车站;公交车站相关,150700,363路;专167路,110105,北京市,北京市,朝阳区,高碑店
BV10007777,豆各庄路口东(公交站),"116.503261,39.936405",交通设施服务;公交车站;公交车站相关,150700,406路,110105,北京市,北京市,朝阳区,姚家园
BV10006435,亮马厂(公交站),"116.531415,39.923707",交通设施服务;公交车站;公交车站相关,150700,499路;675路;911路,110105,北京市,北京市,朝阳区,高碑店
BV09451033,姚家园西路(公交站),"116.512556,39.935696",交通设施服务;公交车站;公交车站相关,150700,专72路,110105,北京市,北京市,朝阳区,姚家园
BV10006225,八王坟南(公交站),"116.477830,39.906120",交通设施服务;公交车站;公交车站相关,150700,11路;138路;31路;486路;54路;605路;973路;985路;专165路,110105,北京市,北京市,朝阳区,大望路
BV10841085,地铁百子湾站(公交站),"116.497205,39.893320",交通设施服务;公交车站;公交车站相关,150700,11路;138路;23路;31路;35路;439路;455路;513路;561路;专71路;夜29路,110105,北京市,北京市,朝阳区,南磨房
BV10001119,八王坟西(公交站),"116.476196,39.908470",交通设施服务;公交车站;公交车站相关,150700,11路;1路;1路区间(公主坟);382路;57路;58路;666路;667路;668路;809路华龙班车;812路;夜1路;夜27路,110105,北京市,北京市,朝阳区,建外大街
BV10001227,红庙路口西(公交站),"116.475376,39.915905",交通设施服务;公交车站;公交车站相关,150700,101路;115路;118路;488路;615路;671路;95路;夜13路,110105,北京市,北京市,朝阳区,呼家楼
BV10006583,四根旗杆(公交站),"116.513321,39.893162",交通设施服务;公交车站;公交车站相关,150700,11路;23路;35路;455路;临7路;夜29路,110105,北京市,北京市,朝阳区,百子湾
BV10346220,豆各庄路口北(公交站),"116.501938,39.937210",交通设施服务;公交车站;公交车站相关,150700,302路,110105,北京市,北京市,朝阳区,姚家园
BV10008387,金台路口北(公交站),"116.478255,39.924991",交通设施服务;公交车站;公交车站相关,150700,117路;135路;31路;412路;419路;682路;985路,110105,北京市,北京市,朝阳区,姚家园
BV10006258,光华路东口(公交站),"116.475373,39.913653",交通设施服务;公交车站;公交车站相关,150700,639路;夜34路,110105,北京市,北京市,朝阳区,红庙
BV10006909,甜水园西里(公交站),"116.480833,39.928186",交通设施服务;公交车站;公交车站相关,150700,985路,110105,北京市,北京市,朝阳区,姚家园
BV11596529,地铁百子湾站(西行)(公交站),"116.497205,39.893320",交通设施服务;公交车站;公交车站相关,150700,专71路,110105,北京市,北京市,朝阳区,百子湾
BV11494487,亮马厂西口(公交站),"116.529904,39.927990",交通设施服务;公交车站;公交车站相关,150700,126路;553路;991路,110105,北京市,北京市,朝阳区,姚家园
BV11474481,广化大街北口(公交站),"116.503603,39.892217",交通设施服务;公交车站;公交车站相关,150700,561路,110105,北京市,北京市,朝阳区,百子湾
BV10007447,朝阳路高井(公交站),"116.535618,39.916618",交通设施服务;公交车站;公交车站相关,150700,350路;451路;488路;517路;615路;639路;690路,110105,北京市,北京市,朝阳区,高碑店
BV10422515,高碑店南站(公交站),"116.527483,39.899206",交通设施服务;公交车站;公交车站相关,150700,35路;363路,110105,北京市,北京市,朝阳区,高碑店
BV11493640,光辉桥南(公交站),"116.477814,39.903896",交通设施服务;公交车站;公交车站相关,150700,11路;138路;31路;486路;54路;605路;973路;985路;专165路,110105,北京市,北京市,朝阳区,南磨房
